Time_ms,X_px,Y_px,BallWidth_px,BallHeight_px
0,571.697,735.927,55.311,55.311
0,571.697,735.927,55.311,55.311
14,571.697,735.927,55.311,55.311
14,571.697,735.927,55.311,55.311
31,571.697,735.927,55.311,55.311
31,571.697,735.927,55.311,55.311
47,571.697,735.927,55.311,55.311
47,571.697,735.927,55.311,55.311
64,571.697,735.927,55.311,55.311
64,571.697,735.927,55.311,55.311
80,571.697,735.927,55.311,55.311
80,571.697,735.927,55.311,55.311
98,571.697,735.927,55.311,55.311
98,571.697,735.927,55.311,55.311
114,571.697,735.927,55.311,55.311
114,571.697,735.927,55.311,55.311
131,571.697,735.927,55.311,55.311
131,571.697,735.927,55.311,55.311
147,571.697,735.927,55.311,55.311
147,571.697,735.927,55.311,55.311
166,571.697,735.927,55.311,55.311
166,571.697,735.927,55.311,55.311
182,571.697,735.927,55.311,55.311
182,571.697,735.927,55.311,55.311
199,571.697,735.927,55.311,55.311
199,571.697,735.927,55.311,55.311
215,571.697,735.927,55.311,55.311
215,571.697,735.927,55.311,55.311
231,571.697,735.927,55.311,55.311
231,571.697,735.927,55.311,55.311
247,571.697,735.927,55.311,55.311
247,571.697,735.927,55.311,55.311
264,571.697,735.927,55.311,55.311
264,571.697,735.927,55.311,55.311
282,571.697,735.927,55.311,55.311
282,571.697,735.927,55.311,55.311
301,571.697,735.927,55.311,55.311
301,571.697,735.927,55.311,55.311
315,571.697,735.927,55.311,55.311
315,571.697,735.927,55.311,55.311
332,571.697,735.927,55.311,55.311
332,571.697,735.927,55.311,55.311
347,571.697,735.927,55.311,55.311
347,571.697,735.927,55.311,55.311
381,571.697,735.927,55.311,55.311
381,571.697,735.927,55.311,55.311
398,571.697,735.927,55.311,55.311
398,571.697,735.927,55.311,55.311
414,571.697,735.927,55.311,55.311
414,571.697,735.927,55.311,55.311
431,571.697,735.927,55.311,55.311
431,571.697,735.927,55.311,55.311
447,571.697,735.927,55.311,55.311
447,571.697,735.927,55.311,55.311
464,571.697,735.927,55.311,55.311
464,571.697,735.927,55.311,55.311
481,571.697,735.927,55.311,55.311
481,571.697,735.927,55.311,55.311
498,571.697,735.927,55.311,55.311
498,571.697,735.927,55.311,55.311
514,571.697,735.927,55.311,55.311
514,571.697,735.927,55.311,55.311
531,571.697,735.927,55.311,55.311
531,571.697,735.927,55.311,55.311
547,571.697,735.927,55.311,55.311
547,571.697,735.927,55.311,55.311
564,571.697,735.927,55.311,55.311
564,571.697,735.927,55.311,55.311
580,571.697,735.927,55.311,55.311
580,571.697,735.927,55.311,55.311
598,571.697,735.927,55.311,55.311
598,571.697,735.927,55.311,55.311
614,571.697,735.927,55.311,55.311
614,571.697,735.927,55.311,55.311
632,571.697,735.927,55.311,55.311
632,571.697,735.927,55.311,55.311
648,571.697,735.927,55.311,55.311
648,571.697,735.927,55.311,55.311
666,571.697,735.928,55.311,55.311
666,571.697,735.928,55.311,55.311
680,571.697,735.928,55.311,55.311
680,571.697,735.928,55.311,55.311
699,571.697,735.928,55.311,55.311
699,571.697,735.928,55.311,55.311
713,571.697,735.928,55.311,55.311
713,571.697,735.928,55.311,55.311
731,571.697,735.928,55.311,55.311
731,571.697,735.928,55.311,55.311
747,571.697,735.928,55.311,55.311
747,571.697,735.928,55.311,55.311
764,571.697,735.928,55.311,55.311
764,571.697,735.928,55.311,55.311
780,571.697,735.928,55.311,55.311
780,571.697,735.928,55.311,55.311
799,571.697,735.928,55.311,55.311
799,571.697,735.928,55.311,55.311
814,571.697,735.928,55.311,55.311
814,571.697,735.928,55.311,55.311
831,571.697,735.928,55.311,55.311
831,571.697,735.928,55.311,55.311
848,571.697,735.928,55.311,55.311
848,571.697,735.928,55.311,55.311
864,571.697,735.928,55.311,55.311
864,571.697,735.928,55.311,55.311
880,571.697,735.928,55.311,55.311
880,571.697,735.928,55.311,55.311
898,571.697,735.928,55.311,55.311
898,571.697,735.928,55.311,55.311
914,571.697,735.928,55.311,55.311
914,571.697,735.928,55.311,55.311
932,571.697,735.928,55.311,55.311
932,571.697,735.928,55.311,55.311
947,571.697,735.928,55.311,55.311
947,571.697,735.928,55.311,55.311
964,571.697,735.928,55.311,55.311
964,571.697,735.928,55.311,55.311
981,571.697,735.928,55.311,55.311
981,571.697,735.928,55.311,55.311
998,571.697,735.928,55.311,55.311
998,571.697,735.928,55.311,55.311
1015,571.697,735.928,55.311,55.311
1015,571.697,735.928,55.311,55.311
1031,571.697,735.928,55.311,55.311
1031,571.697,735.928,55.311,55.311
1047,571.697,735.928,55.311,55.311
1047,571.697,735.928,55.311,55.311
1065,571.697,735.928,55.311,55.311
1065,571.697,735.928,55.311,55.311
1081,571.697,735.928,55.311,55.311
1081,571.697,735.928,55.311,55.311
1098,571.697,735.928,55.311,55.311
1098,571.697,735.928,55.311,55.311
1114,571.697,735.928,55.311,55.311
1114,571.697,735.928,55.311,55.311
1132,571.697,735.928,55.311,55.311
1132,571.697,735.928,55.311,55.311
1147,571.697,735.928,55.311,55.311
1147,571.697,735.928,55.311,55.311
1164,571.697,735.928,55.311,55.311
1164,571.697,735.928,55.311,55.311
1181,571.697,735.928,55.311,55.311
1181,571.697,735.928,55.311,55.311
1197,571.697,735.928,55.311,55.311
1197,571.697,735.928,55.311,55.311
1213,571.697,735.928,55.311,55.311
1213,571.697,735.928,55.311,55.311
1231,571.697,735.928,55.311,55.311
1231,571.697,735.928,55.311,55.311
1247,571.697,735.928,55.311,55.311
1247,571.697,735.928,55.311,55.311
1264,571.697,735.928,55.311,55.311
1264,571.697,735.928,55.311,55.311
1280,571.697,735.928,55.311,55.311
1280,571.697,735.928,55.311,55.311
1297,571.697,735.928,55.311,55.311
1297,571.697,735.928,55.311,55.311
1313,571.697,735.928,55.311,55.311
1313,571.697,735.928,55.311,55.311
1330,571.697,735.928,55.311,55.311
1330,571.697,735.928,55.311,55.311
1346,571.697,735.928,55.311,55.311
1346,571.697,735.928,55.311,55.311
1364,571.697,735.928,55.311,55.311
1364,571.697,735.928,55.311,55.311
1380,571.697,735.928,55.311,55.311
1380,571.697,735.928,55.311,55.311
1397,571.697,735.928,55.311,55.311
1397,571.697,735.928,55.311,55.311
1413,571.697,735.928,55.311,55.311
1413,571.697,735.928,55.311,55.311
1431,571.697,735.928,55.311,55.311
1431,571.697,735.928,55.311,55.311
1446,571.697,735.928,55.311,55.311
1446,571.697,735.928,55.311,55.311
1464,571.697,735.928,55.311,55.311
1464,571.697,735.928,55.311,55.311
1480,571.697,735.928,55.311,55.311
1480,571.697,735.928,55.311,55.311
1498,571.697,735.928,55.311,55.311
1498,571.697,735.928,55.311,55.311
1513,571.697,735.928,55.311,55.311
1513,571.697,735.928,55.311,55.311
1530,571.697,735.928,55.311,55.311
1530,571.697,735.928,55.311,55.311
1546,571.697,735.928,55.311,55.311
1546,571.697,735.928,55.311,55.311
1564,571.697,735.928,55.311,55.311
1564,571.697,735.928,55.311,55.311
1580,571.697,735.928,55.311,55.311
1580,571.697,735.928,55.311,55.311
1598,571.697,735.928,55.311,55.311
1598,571.697,735.928,55.311,55.311
1613,571.697,735.928,55.311,55.311
1613,571.697,735.928,55.311,55.311
1630,571.697,735.928,55.311,55.311
1630,571.697,735.928,55.311,55.311
1647,571.697,735.928,55.311,55.311
1647,571.697,735.928,55.311,55.311
1664,571.697,735.928,55.311,55.311
1664,571.697,735.928,55.311,55.311
1680,571.697,735.928,55.311,55.311
1680,571.697,735.928,55.311,55.311
1698,571.697,735.928,55.311,55.311
1698,571.697,735.928,55.311,55.311
1714,571.697,735.928,55.311,55.311
1714,571.697,735.928,55.311,55.311
1731,571.697,735.928,55.311,55.311
1731,571.697,735.928,55.311,55.311
1747,571.697,735.928,55.311,55.311
1747,571.697,735.928,55.311,55.311
1764,571.697,735.928,55.311,55.311
1764,571.697,735.928,55.311,55.311
1780,571.697,735.928,55.311,55.311
1780,571.697,735.928,55.311,55.311
1799,571.697,735.928,55.311,55.311
1800,571.697,735.928,55.311,55.311
1814,571.697,735.928,55.311,55.311
1814,571.697,735.928,55.311,55.311
1833,571.697,735.928,55.311,55.311
1833,571.697,735.928,55.311,55.311
1848,571.697,735.928,55.311,55.311
1848,571.697,735.928,55.311,55.311
1864,571.697,735.928,55.311,55.311
1864,571.697,735.928,55.311,55.311
1881,571.697,735.928,55.311,55.311
1881,571.697,735.928,55.311,55.311
1898,571.697,735.928,55.311,55.311
1898,571.697,735.928,55.311,55.311
1914,571.697,735.928,55.311,55.311
1914,571.697,735.928,55.311,55.311
1931,571.697,735.928,55.311,55.311
1931,571.697,735.928,55.311,55.311
1948,571.697,735.928,55.311,55.311
1948,571.697,735.928,55.311,55.311
1965,571.697,735.928,55.311,55.311
1965,571.697,735.928,55.311,55.311
1981,571.697,735.928,55.311,55.311
1981,571.697,735.928,55.311,55.311
1999,571.697,735.928,55.311,55.311
1999,571.697,735.928,55.311,55.311
2014,571.697,735.928,55.311,55.311
2014,571.697,735.928,55.311,55.311
2032,571.697,735.928,55.311,55.311
2032,571.697,735.928,55.311,55.311
2047,571.697,735.928,55.311,55.311
2047,571.697,735.928,55.311,55.311
2064,571.697,735.928,55.311,55.311
2064,571.697,735.928,55.311,55.311
2080,571.697,735.928,55.311,55.311
2080,571.697,735.928,55.311,55.311
2097,571.697,735.928,55.311,55.311
2097,571.697,735.928,55.311,55.311
2113,571.697,735.928,55.311,55.311
2114,571.697,735.928,55.311,55.311
2131,571.697,735.928,55.311,55.311
2131,571.697,735.928,55.311,55.311
2147,571.697,735.928,55.311,55.311
2147,571.697,735.928,55.311,55.311
2164,571.697,735.928,55.311,55.311
2164,571.697,735.928,55.311,55.311
2180,571.697,735.928,55.311,55.311
2180,571.697,735.928,55.311,55.311
2198,571.697,735.928,55.311,55.311
2198,571.697,735.928,55.311,55.311
2214,571.697,735.928,55.311,55.311
2214,571.697,735.928,55.311,55.311
2231,571.697,735.928,55.311,55.311
2231,571.697,735.928,55.311,55.311
2246,571.697,735.928,55.311,55.311
2246,571.697,735.928,55.311,55.311
2264,571.697,735.928,55.311,55.311
2264,571.697,735.928,55.311,55.311
2280,571.697,735.928,55.311,55.311
2280,571.697,735.928,55.311,55.311
2297,571.697,735.928,55.311,55.311
2297,571.697,735.928,55.311,55.311
2313,571.697,735.929,55.311,55.311
2313,571.697,735.929,55.311,55.311
2331,571.697,735.929,55.311,55.311
2331,571.697,735.929,55.311,55.311
2346,571.697,735.929,55.311,55.311
2346,571.697,735.929,55.311,55.311
2364,571.697,735.929,55.311,55.311
2364,571.697,735.929,55.311,55.311
2379,571.697,735.929,55.311,55.311
2379,571.697,735.929,55.311,55.311
2397,571.697,735.929,55.311,55.311
2397,571.697,735.929,55.311,55.311
2413,571.697,735.929,55.311,55.311
2413,571.697,735.929,55.311,55.311
2430,571.697,735.929,55.311,55.311
2430,571.697,735.929,55.311,55.311
2447,571.697,735.929,55.311,55.311
2447,571.697,735.929,55.311,55.311
2464,571.697,735.929,55.311,55.311
2464,571.697,735.929,55.311,55.311
2479,571.697,735.929,55.311,55.311
2479,571.697,735.929,55.311,55.311
2497,571.697,735.929,55.311,55.311
2497,571.697,735.929,55.311,55.311
2514,571.697,735.929,55.311,55.311
2514,571.697,735.929,55.311,55.311
2531,571.697,735.929,55.311,55.311
2531,571.697,735.929,55.311,55.311
2547,571.697,735.929,55.311,55.311
2547,571.697,735.929,55.311,55.311
2564,571.697,735.929,55.311,55.311
2564,571.697,735.929,55.311,55.311
2579,571.697,735.929,55.311,55.311
2579,571.697,735.929,55.311,55.311
2597,571.697,735.929,55.311,55.311
2597,571.697,735.929,55.311,55.311
2613,571.697,735.929,55.311,55.311
2613,571.697,735.929,55.311,55.311
2630,571.697,735.929,55.311,55.311
2630,571.697,735.929,55.311,55.311
2647,571.697,735.929,55.311,55.311
2647,571.697,735.929,55.311,55.311
2663,571.697,735.929,55.311,55.311
