Time_ms,X_px,Y_px,BallWidth_px,BallHeight_px
0,571.697,751.426,22.775,22.775
0,571.697,751.426,22.775,22.775
16,571.697,751.426,22.775,22.775
16,571.697,751.426,22.775,22.775
33,571.697,751.426,22.775,22.775
33,571.697,751.426,22.775,22.775
49,571.697,751.427,22.775,22.775
49,571.697,751.427,22.775,22.775
66,571.697,751.427,22.775,22.775
66,571.697,751.427,22.775,22.775
82,571.697,751.427,22.775,22.775
82,571.697,751.427,22.775,22.775
100,571.697,751.427,22.775,22.775
100,571.697,751.427,22.775,22.775
116,571.697,751.427,22.775,22.775
116,571.697,751.427,22.775,22.775
133,571.697,751.427,22.775,22.775
133,571.697,751.427,22.775,22.775
149,571.697,751.427,22.775,22.775
149,571.697,751.427,22.775,22.775
166,571.697,751.427,22.775,22.775
166,571.697,751.427,22.775,22.775
182,571.697,751.427,22.775,22.775
182,571.697,751.427,22.775,22.775
200,571.697,751.427,22.775,22.775
200,571.697,751.427,22.775,22.775
215,571.697,751.427,22.775,22.775
215,571.697,751.427,22.775,22.775
232,571.697,751.427,22.775,22.775
232,571.697,751.427,22.775,22.775
249,571.697,751.427,22.775,22.775
249,571.697,751.427,22.775,22.775
266,571.697,751.427,22.775,22.775
266,571.697,751.427,22.775,22.775
282,571.697,751.427,22.775,22.775
282,571.697,751.427,22.775,22.775
299,571.697,750.095,22.775,22.775
299,571.697,750.095,22.775,22.775
315,571.697,748.303,22.775,22.775
316,571.697,748.303,22.775,22.775
333,571.697,746.548,22.775,22.775
333,571.697,746.548,22.775,22.775
348,571.697,744.904,22.775,22.775
349,571.697,744.904,22.775,22.775
366,571.697,743.194,22.775,22.775
366,571.697,743.194,22.775,22.775
382,571.697,741.496,22.775,22.775
382,571.697,741.496,22.775,22.775
399,571.697,739.935,22.775,22.775
399,571.697,739.935,22.775,22.775
415,571.697,738.287,22.775,22.775
415,571.697,738.287,22.775,22.775
432,571.697,736.679,22.775,22.775
432,571.697,736.679,22.775,22.775
449,571.697,735.177,22.775,22.775
449,571.697,735.177,22.775,22.775
466,571.697,733.619,22.775,22.775
466,571.697,733.619,22.775,22.775
482,571.697,732.074,22.775,22.775
482,571.697,732.074,22.775,22.775
499,571.697,730.657,22.775,22.775
499,571.697,730.657,22.775,22.775
515,571.697,729.162,22.775,22.775
515,571.697,729.162,22.775,22.775
533,571.697,727.706,22.775,22.775
533,571.697,727.706,22.775,22.775
549,571.697,726.346,22.775,22.775
549,571.697,726.346,22.775,22.775
566,571.697,724.939,22.775,22.775
566,571.697,724.939,22.775,22.775
582,571.697,723.543,22.775,22.775
582,571.697,723.543,22.775,22.775
599,571.697,722.266,22.775,22.775
599,571.697,722.266,22.775,22.775
615,571.697,720.920,22.775,22.775
615,571.697,720.920,22.775,22.775
632,571.697,719.612,22.775,22.775
632,571.697,719.612,22.775,22.775
648,571.697,718.391,22.775,22.775
648,571.697,718.391,22.775,22.775
665,571.697,717.132,22.775,22.775
665,571.697,717.132,22.775,22.775
682,571.697,715.884,22.775,22.775
682,571.697,715.884,22.775,22.775
699,571.697,714.746,22.775,22.775
699,571.697,714.746,22.775,22.775
715,571.697,713.548,22.775,22.775
715,571.697,713.548,22.775,22.775
732,571.697,712.456,22.775,22.775
732,571.697,712.456,22.775,22.775
748,571.697,711.308,22.775,22.775
748,571.697,711.308,22.775,22.775
766,571.697,710.197,22.775,22.775
766,571.697,710.197,22.775,22.775
782,571.697,709.098,22.775,22.775
782,571.697,709.098,22.775,22.775
799,571.697,708.100,22.775,22.775
799,571.697,708.100,22.775,22.775
815,571.697,707.051,22.775,22.775
815,571.697,707.051,22.775,22.775
833,571.697,706.040,22.775,22.775
833,571.697,706.040,22.775,22.775
849,571.697,705.099,22.775,22.775
849,571.697,705.099,22.775,22.775
866,571.697,704.137,22.775,22.775
866,571.697,704.137,22.775,22.775
882,571.697,703.243,22.775,22.775
882,571.697,703.243,22.775,22.775
899,571.697,702.329,22.775,22.775
899,571.697,702.329,22.775,22.775
916,571.697,701.428,22.775,22.775
916,571.697,701.428,22.775,22.775
932,571.697,700.616,22.775,22.775
932,571.697,700.616,22.775,22.775
949,571.697,699.764,22.775,22.775
949,571.697,699.764,22.775,22.775
965,571.697,698.951,22.775,22.775
965,571.697,698.951,22.775,22.775
982,571.697,698.196,22.775,22.775
982,571.697,698.196,22.775,22.775
999,571.697,697.430,22.775,22.775
999,571.697,697.430,22.775,22.775
1015,571.697,696.678,22.775,22.775
1015,571.697,696.678,22.775,22.775
1032,571.697,696.005,22.775,22.775
1032,571.697,696.005,22.775,22.775
1048,571.697,695.302,22.775,22.775
1048,571.697,695.302,22.775,22.775
1066,571.697,694.636,22.775,22.775
1066,571.697,694.636,22.775,22.775
1082,571.697,694.021,22.775,22.775
1082,571.697,694.021,22.775,22.775
1099,571.697,693.403,22.775,22.775
1099,571.697,693.403,22.775,22.775
1115,571.697,692.799,22.775,22.775
1115,571.697,692.799,22.775,22.775
1133,571.697,692.233,22.775,22.775
1133,571.697,692.233,22.775,22.775
1149,571.697,691.710,22.775,22.775
1149,571.697,691.710,22.775,22.775
1166,571.697,691.193,22.775,22.775
1166,571.697,691.193,22.775,22.775
1181,571.697,690.717,22.775,22.775
1181,571.697,690.717,22.775,22.775
1199,571.697,690.248,22.775,22.775
1199,571.697,690.248,22.775,22.775
1215,571.697,689.791,22.775,22.775
1215,571.697,689.791,22.775,22.775
1232,571.697,689.397,22.775,22.775
1232,571.697,689.397,22.775,22.775
1248,571.697,688.990,22.775,22.775
1248,571.697,688.990,22.775,22.775
1265,571.697,688.620,22.775,22.775
1265,571.697,688.620,22.775,22.775
1281,571.697,688.283,22.775,22.775
1281,571.697,688.283,22.775,22.775
1299,571.697,687.962,22.775,22.775
1299,571.697,687.962,22.775,22.775
1315,571.697,687.667,22.775,22.775
1315,571.697,687.667,22.775,22.775
1332,571.697,687.410,22.775,22.775
1332,571.697,687.410,22.775,22.775
1348,571.697,687.151,22.775,22.775
1348,571.697,687.151,22.775,22.775
1365,571.697,686.927,22.775,22.775
1365,571.697,686.927,22.775,22.775
1382,571.697,686.716,22.775,22.775
1382,571.697,686.716,22.775,22.775
1399,571.697,686.553,22.775,22.775
1399,571.697,686.553,22.775,22.775
1415,571.697,686.392,22.775,22.775
1415,571.697,686.392,22.775,22.775
1432,571.697,686.274,22.775,22.775
1432,571.697,686.274,22.775,22.775
1448,571.697,686.162,22.775,22.775
1448,571.697,686.162,22.775,22.775
1465,571.697,686.086,22.775,22.775
1465,571.697,686.086,22.775,22.775
1481,571.697,686.027,22.775,22.775
1481,571.697,686.027,22.775,22.775
1499,571.697,685.999,22.775,22.775
1499,571.697,685.999,22.775,22.775
1515,571.697,685.985,22.775,22.775
1515,571.697,685.985,22.775,22.775
1532,571.697,686.008,22.775,22.775
1532,571.697,686.008,22.775,22.775
1548,571.697,686.042,22.775,22.775
1548,571.697,686.042,22.775,22.775
1566,571.697,686.113,22.775,22.775
1566,571.697,686.113,22.775,22.775
1582,571.697,686.193,22.775,22.775
1582,571.697,686.193,22.775,22.775
1599,571.697,686.312,22.775,22.775
1599,571.697,686.312,22.775,22.775
1615,571.697,686.446,22.775,22.775
1615,571.697,686.446,22.775,22.775
1632,571.697,686.605,22.775,22.775
1632,571.697,686.605,22.775,22.775
1648,571.697,686.789,22.775,22.775
1648,571.697,686.789,22.775,22.775
1666,571.697,687.007,22.775,22.775
1666,571.697,687.007,22.775,22.775
1681,571.697,687.225,22.775,22.775
1681,571.697,687.225,22.775,22.775
1698,571.697,687.492,22.775,22.775
1698,571.697,687.492,22.775,22.775
1715,571.697,687.757,22.775,22.775
1715,571.697,687.757,22.775,22.775
1732,571.697,688.071,22.775,22.775
1732,571.697,688.071,22.775,22.775
1748,571.697,688.402,22.775,22.775
1748,571.697,688.402,22.775,22.775
1765,571.697,688.745,22.775,22.775
1765,571.697,688.745,22.775,22.775
1782,571.697,689.146,22.775,22.775
1782,571.697,689.146,22.775,22.775
1799,571.697,689.538,22.775,22.775
1799,571.697,689.538,22.775,22.775
1815,571.697,689.941,22.775,22.775
1815,571.697,689.941,22.775,22.775
1832,571.697,690.403,22.775,22.775
1832,571.697,690.403,22.775,22.775
1848,571.697,690.880,22.775,22.775
1848,571.697,690.880,22.775,22.775
1866,571.697,691.393,22.775,22.775
1866,571.697,691.393,22.775,22.775
1881,571.697,691.888,22.775,22.775
1881,571.697,691.888,22.775,22.775
1898,571.697,692.449,22.775,22.775
1898,571.697,692.449,22.775,22.775
1915,571.697,692.990,22.775,22.775
1915,571.697,692.990,22.775,22.775
1932,571.697,693.599,22.775,22.775
1932,571.697,693.599,22.775,22.775
1948,571.697,694.223,22.775,22.775
1948,571.697,694.223,22.775,22.775
1966,571.697,694.883,22.775,22.775
1966,571.697,694.883,22.775,22.775
1982,571.697,695.516,22.775,22.775
1982,571.697,695.516,22.775,22.775
1998,571.697,696.224,22.775,22.775
1999,571.697,696.224,22.775,22.775
2014,571.697,696.903,22.775,22.775
2014,571.697,696.903,22.775,22.775
2033,571.697,697.659,22.775,22.775
2033,571.697,697.659,22.775,22.775
2048,571.697,698.430,22.775,22.775
2048,571.697,698.430,22.775,22.775
2065,571.697,699.188,22.775,22.775
2065,571.697,699.188,22.775,22.775
2081,571.697,700.008,22.775,22.775
2081,571.697,700.008,22.775,22.775
2099,571.697,700.862,22.775,22.775
2099,571.697,700.862,22.775,22.775
2115,571.697,701.680,22.775,22.775
2115,571.697,701.680,22.775,22.775
2132,571.697,702.582,22.775,22.775
2132,571.697,702.582,22.775,22.775
2148,571.697,703.499,22.775,22.775
