Time_ms,X_px,Y_px,BallWidth_px,BallHeight_px
0,1048.892,754.527,16.268,16.268
0,1048.892,754.527,16.268,16.268
16,1048.892,754.527,16.268,16.268
16,1048.892,754.527,16.268,16.268
33,1048.892,754.527,16.268,16.268
33,1048.892,754.527,16.268,16.268
49,1048.892,754.527,16.268,16.268
49,1048.892,754.527,16.268,16.268
67,1048.892,754.527,16.268,16.268
67,1048.892,754.527,16.268,16.268
84,1048.892,754.527,16.268,16.268
84,1048.892,754.527,16.268,16.268
100,1048.892,754.527,16.268,16.268
101,1048.892,754.527,16.268,16.268
116,1048.892,754.527,16.268,16.268
116,1048.892,754.527,16.268,16.268
134,1048.892,754.527,16.268,16.268
134,1048.892,754.527,16.268,16.268
150,1048.892,754.527,16.268,16.268
150,1048.892,754.527,16.268,16.268
167,1048.892,754.527,16.268,16.268
167,1048.892,754.527,16.268,16.268
183,1048.892,754.527,16.268,16.268
183,1048.892,754.527,16.268,16.268
200,1048.892,754.527,16.268,16.268
200,1048.892,754.527,16.268,16.268
216,1048.892,754.527,16.268,16.268
216,1048.892,754.527,16.268,16.268
234,1048.892,754.527,16.268,16.268
234,1048.892,754.527,16.268,16.268
249,1048.892,754.527,16.268,16.268
249,1048.892,754.527,16.268,16.268
267,1048.877,754.527,16.268,16.268
267,1048.877,754.527,16.268,16.268
283,1048.824,754.527,16.268,16.268
283,1048.824,754.527,16.268,16.268
300,1048.761,754.527,16.268,16.268
300,1048.761,754.527,16.268,16.268
317,1048.656,754.527,16.268,16.268
317,1048.656,754.527,16.268,16.268
333,1048.544,754.527,16.268,16.268
333,1048.544,754.527,16.268,16.268
350,1048.386,754.527,16.268,16.268
350,1048.386,754.527,16.268,16.268
367,1048.214,754.527,16.268,16.268
367,1048.214,754.527,16.268,16.268
384,1048.003,754.527,16.268,16.268
384,1048.003,754.527,16.268,16.268
401,1047.791,754.527,16.268,16.268
401,1047.791,754.527,16.268,16.268
417,1047.528,754.527,16.268,16.268
417,1047.528,754.527,16.268,16.268
434,1047.249,754.527,16.268,16.268
434,1047.249,754.527,16.268,16.268
450,1046.934,754.527,16.268,16.268
450,1046.934,754.527,16.268,16.268
467,1046.622,754.527,16.268,16.268
467,1046.622,754.527,16.268,16.268
483,1046.254,754.527,16.268,16.268
483,1046.254,754.527,16.268,16.268
501,1045.894,754.527,16.268,16.268
501,1045.894,754.527,16.268,16.268
516,1045.473,754.527,16.268,16.268
516,1045.473,754.527,16.268,16.268
535,1045.036,754.527,16.268,16.268
535,1045.036,754.527,16.268,16.268
550,1044.591,754.527,16.268,16.268
550,1044.591,754.527,16.268,16.268
568,1044.103,754.527,16.268,16.268
568,1044.103,754.527,16.268,16.268
582,1043.608,754.527,16.268,16.268
582,1043.608,754.527,16.268,16.268
600,1043.069,754.527,16.268,16.268
600,1043.069,754.527,16.268,16.268
616,1042.524,754.527,16.268,16.268
616,1042.524,754.527,16.268,16.268
633,1041.934,754.527,16.268,16.268
633,1041.934,754.527,16.268,16.268
649,1041.340,754.527,16.268,16.268
649,1041.340,754.527,16.268,16.268
666,1040.698,754.527,16.268,16.268
666,1040.698,754.527,16.268,16.268
682,1040.014,754.527,16.268,16.268
682,1040.014,754.527,16.268,16.268
699,1039.361,754.527,16.268,16.268
699,1039.361,754.527,16.268,16.268
715,1038.625,754.527,16.268,16.268
715,1038.625,754.527,16.268,16.268
732,1037.877,754.527,16.268,16.268
732,1037.877,754.527,16.268,16.268
748,1037.135,754.527,16.268,16.268
748,1037.135,754.527,16.268,16.268
767,1036.336,754.527,16.268,16.268
767,1036.336,754.527,16.268,16.268
783,1035.495,754.527,16.268,16.268
783,1035.495,754.527,16.268,16.268
801,1034.641,754.527,16.268,16.268
801,1034.641,754.527,16.268,16.268
816,1033.801,754.527,16.268,16.268
816,1033.801,754.527,16.268,16.268
833,1032.896,754.527,16.268,16.268
833,1032.896,754.527,16.268,16.268
850,1031.951,754.527,16.268,16.268
850,1031.951,754.527,16.268,16.268
867,1031.049,754.527,16.268,16.268
867,1031.049,754.527,16.268,16.268
883,1030.052,754.527,16.268,16.268
883,1030.052,754.527,16.268,16.268
902,1029.041,754.527,16.268,16.268
902,1029.041,754.527,16.268,16.268
916,1028.053,754.527,16.268,16.268
916,1028.053,754.527,16.268,16.268
935,1026.990,754.527,16.268,16.268
935,1026.990,754.527,16.268,16.268
950,1025.888,754.527,16.268,16.268
950,1025.888,754.527,16.268,16.268
966,1024.839,754.527,16.268,16.268
966,1024.839,754.527,16.268,16.268
982,1023.685,754.528,16.268,16.268
982,1023.685,754.528,16.268,16.268
999,1022.588,754.528,16.268,16.268
999,1022.588,754.528,16.268,16.268
1015,1021.381,754.528,16.268,16.268
1015,1021.381,754.528,16.268,16.268
1033,1020.090,754.528,16.268,16.268
1033,1020.090,754.528,16.268,16.268
1049,1018.905,754.528,16.268,16.268
1049,1018.905,754.528,16.268,16.268
1067,1017.631,754.528,16.268,16.268
1067,1017.631,754.528,16.268,16.268
1083,1016.320,754.528,16.268,16.268
1083,1016.320,754.528,16.268,16.268
1099,1014.992,754.528,16.268,16.268
1100,1014.992,754.528,16.268,16.268
1115,1013.709,754.528,16.268,16.268
1115,1013.709,754.528,16.268,16.268
1132,1012.330,754.528,16.268,16.268
1132,1012.330,754.528,16.268,16.268
1148,1010.998,754.528,16.268,16.268
1148,1010.998,754.528,16.268,16.268
1166,1009.568,754.528,16.268,16.268
