Time_ms,X_px,Y_px,BallWidth_px,BallHeight_px
0,1045.788,751.429,22.775,22.775
0,1045.788,751.429,22.775,22.775
17,1045.788,751.429,22.775,22.775
17,1045.788,751.429,22.775,22.775
33,1045.788,751.429,22.775,22.775
33,1045.788,751.429,22.775,22.775
52,1045.788,751.429,22.775,22.775
52,1045.788,751.429,22.775,22.775
67,1045.788,751.429,22.775,22.775
68,1045.788,751.429,22.775,22.775
84,1045.788,751.429,22.775,22.775
84,1045.788,751.429,22.775,22.775
101,1045.788,751.429,22.775,22.775
101,1045.788,751.429,22.775,22.775
118,1045.788,751.429,22.775,22.775
118,1045.788,751.429,22.775,22.775
134,1045.788,751.429,22.775,22.775
134,1045.788,751.429,22.775,22.775
152,1045.788,751.429,22.775,22.775
152,1045.788,751.429,22.775,22.775
167,1045.788,751.429,22.775,22.775
167,1045.788,751.429,22.775,22.775
186,1045.788,751.429,22.775,22.775
187,1045.788,751.429,22.775,22.775
201,1045.788,751.429,22.775,22.775
201,1045.788,751.429,22.775,22.775
218,1045.788,751.429,22.775,22.775
219,1045.788,751.429,22.775,22.775
234,1045.788,751.429,22.775,22.775
234,1045.788,751.429,22.775,22.775
252,1045.788,751.429,22.775,22.775
252,1045.788,751.429,22.775,22.775
267,1045.788,751.429,22.775,22.775
267,1045.788,751.429,22.775,22.775
285,1045.788,751.429,22.775,22.775
285,1045.788,751.429,22.775,22.775
301,1045.788,751.429,22.775,22.775
301,1045.788,751.429,22.775,22.775
318,1045.788,751.429,22.775,22.775
318,1045.788,751.429,22.775,22.775
333,1045.788,751.429,22.775,22.775
333,1045.788,751.429,22.775,22.775
351,1045.788,751.429,22.775,22.775
351,1045.788,751.429,22.775,22.775
366,1045.788,751.429,22.775,22.775
366,1045.788,751.429,22.775,22.775
384,1045.788,751.429,22.775,22.775
384,1045.788,751.429,22.775,22.775
400,1045.788,751.429,22.775,22.775
400,1045.788,751.429,22.775,22.775
417,1045.788,751.429,22.775,22.775
417,1045.788,751.429,22.775,22.775
433,1045.788,751.429,22.775,22.775
433,1045.788,751.429,22.775,22.775
450,1045.788,751.429,22.775,22.775
450,1045.788,751.429,22.775,22.775
466,1045.788,751.429,22.775,22.775
466,1045.788,751.429,22.775,22.775
483,1045.788,751.429,22.775,22.775
484,1045.788,751.429,22.775,22.775
499,1045.788,751.429,22.775,22.775
499,1045.788,751.429,22.775,22.775
517,1045.788,751.429,22.775,22.775
517,1045.788,751.429,22.775,22.775
533,1045.788,751.429,22.775,22.775
533,1045.788,751.429,22.775,22.775
551,1045.788,751.429,22.775,22.775
551,1045.788,751.429,22.775,22.775
567,1045.788,751.429,22.775,22.775
567,1045.788,751.429,22.775,22.775
584,1045.788,751.429,22.775,22.775
584,1045.788,751.429,22.775,22.775
600,1045.788,751.429,22.775,22.775
600,1045.788,751.429,22.775,22.775
617,1045.788,751.429,22.775,22.775
617,1045.788,751.429,22.775,22.775
633,1045.788,751.429,22.775,22.775
633,1045.788,751.429,22.775,22.775
651,1045.788,751.429,22.775,22.775
651,1045.788,751.429,22.775,22.775
667,1045.788,751.429,22.775,22.775
667,1045.788,751.429,22.775,22.775
686,1045.788,751.429,22.775,22.775
686,1045.788,751.429,22.775,22.775
699,1045.788,751.429,22.775,22.775
699,1045.788,751.429,22.775,22.775
718,1045.788,751.429,22.775,22.775
718,1045.788,751.429,22.775,22.775
733,1045.788,751.429,22.775,22.775
733,1045.788,751.429,22.775,22.775
751,1045.788,751.429,22.775,22.775
751,1045.788,751.429,22.775,22.775
766,1045.788,751.429,22.775,22.775
766,1045.788,751.429,22.775,22.775
784,1045.788,751.429,22.775,22.775
784,1045.788,751.429,22.775,22.775
799,1045.788,751.429,22.775,22.775
799,1045.788,751.429,22.775,22.775
817,1045.788,751.429,22.775,22.775
817,1045.788,751.429,22.775,22.775
834,1045.788,751.429,22.775,22.775
834,1045.788,751.429,22.775,22.775
852,1045.788,751.429,22.775,22.775
852,1045.788,751.429,22.775,22.775
867,1045.788,751.429,22.775,22.775
867,1045.788,751.429,22.775,22.775
885,1045.788,751.429,22.775,22.775
885,1045.788,751.429,22.775,22.775
900,1045.788,751.429,22.775,22.775
900,1045.788,751.429,22.775,22.775
919,1045.788,751.429,22.775,22.775
919,1045.788,751.429,22.775,22.775
933,1045.788,751.429,22.775,22.775
933,1045.788,751.429,22.775,22.775
951,1045.788,751.429,22.775,22.775
951,1045.788,751.429,22.775,22.775
967,1045.788,751.429,22.775,22.775
967,1045.788,751.429,22.775,22.775
984,1045.788,751.429,22.775,22.775
984,1045.788,751.429,22.775,22.775
1001,1045.788,751.429,22.775,22.775
1001,1045.788,751.429,22.775,22.775
1018,1045.788,751.429,22.775,22.775
1018,1045.788,751.429,22.775,22.775
1033,1045.788,751.429,22.775,22.775
1033,1045.788,751.429,22.775,22.775
1052,1045.788,751.429,22.775,22.775
1052,1045.788,751.429,22.775,22.775
1067,1045.788,751.429,22.775,22.775
1067,1045.788,751.429,22.775,22.775
1084,1045.788,751.429,22.775,22.775
1084,1045.788,751.429,22.775,22.775
1100,1045.788,751.429,22.775,22.775
1100,1045.788,751.429,22.775,22.775
1118,1045.788,751.429,22.775,22.775
1118,1045.788,751.429,22.775,22.775
1134,1045.788,751.429,22.775,22.775
1134,1045.788,751.429,22.775,22.775
1152,1045.788,751.429,22.775,22.775
1152,1045.788,751.429,22.775,22.775
1167,1045.788,751.429,22.775,22.775
1167,1045.788,751.429,22.775,22.775
1184,1045.788,751.429,22.775,22.775
1184,1045.788,751.429,22.775,22.775
1200,1045.788,751.429,22.775,22.775
1200,1045.788,751.429,22.775,22.775
1219,1045.788,751.429,22.775,22.775
1219,1045.788,751.429,22.775,22.775
1233,1045.788,751.429,22.775,22.775
1233,1045.788,751.429,22.775,22.775
1251,1045.788,751.429,22.775,22.775
1251,1045.788,751.429,22.775,22.775
1266,1045.788,751.429,22.775,22.775
1266,1045.788,751.429,22.775,22.775
1284,1045.788,751.429,22.775,22.775
1284,1045.788,751.429,22.775,22.775
1300,1045.788,751.429,22.775,22.775
1300,1045.788,751.429,22.775,22.775
1317,1045.788,751.429,22.775,22.775
1317,1045.788,751.429,22.775,22.775
1334,1045.788,751.429,22.775,22.775
1334,1045.788,751.429,22.775,22.775
1350,1045.788,751.429,22.775,22.775
1350,1045.788,751.429,22.775,22.775
1367,1045.788,751.429,22.775,22.775
1367,1045.788,751.429,22.775,22.775
1386,1045.788,751.429,22.775,22.775
1386,1045.788,751.429,22.775,22.775
1399,1045.788,751.429,22.775,22.775
1399,1045.788,751.429,22.775,22.775
1419,1045.788,751.429,22.775,22.775
1419,1045.788,751.429,22.775,22.775
1433,1045.788,751.429,22.775,22.775
1433,1045.788,751.429,22.775,22.775
1451,1045.788,751.429,22.775,22.775
1451,1045.788,751.429,22.775,22.775
1466,1045.788,751.429,22.775,22.775
1466,1045.788,751.429,22.775,22.775
1484,1045.788,751.429,22.775,22.775
1484,1045.788,751.429,22.775,22.775
1499,1045.788,751.429,22.775,22.775
1499,1045.788,751.429,22.775,22.775
1517,1045.788,751.429,22.775,22.775
1517,1045.788,751.429,22.775,22.775
1533,1045.788,751.429,22.775,22.775
1533,1045.788,751.429,22.775,22.775
1551,1045.788,751.429,22.775,22.775
1551,1045.788,751.429,22.775,22.775
1566,1045.788,751.429,22.775,22.775
1566,1045.788,751.429,22.775,22.775
1584,1045.788,751.429,22.775,22.775
1584,1045.788,751.429,22.775,22.775
1599,1045.788,751.429,22.775,22.775
1599,1045.788,751.429,22.775,22.775
1617,1045.788,751.429,22.775,22.775
1617,1045.788,751.429,22.775,22.775
1634,1045.788,751.429,22.775,22.775
1634,1045.788,751.429,22.775,22.775
1650,1045.788,751.429,22.775,22.775
1650,1045.788,751.429,22.775,22.775
1667,1045.788,751.429,22.775,22.775
1667,1045.788,751.429,22.775,22.775
1685,1045.788,751.429,22.775,22.775
1685,1045.788,751.429,22.775,22.775
1699,1045.788,751.429,22.775,22.775
