Time_ms,X_px,Y_px,BallWidth_px,BallHeight_px
0,144.088,723.539,81.339,81.339
0,144.088,723.539,81.339,81.339
23,144.088,723.539,81.339,81.339
23,144.088,723.539,81.339,81.339
34,144.088,723.539,81.339,81.339
34,144.088,723.539,81.339,81.339
51,144.088,723.539,81.339,81.339
51,144.088,723.539,81.339,81.339
67,144.088,723.539,81.339,81.339
67,144.088,723.539,81.339,81.339
85,144.088,723.539,81.339,81.339
85,144.088,723.539,81.339,81.339
101,144.088,723.539,81.339,81.339
101,144.088,723.539,81.339,81.339
119,144.088,723.539,81.339,81.339
119,144.088,723.539,81.339,81.339
134,144.088,723.539,81.339,81.339
134,144.088,723.539,81.339,81.339
151,144.088,723.539,81.339,81.339
151,144.088,723.539,81.339,81.339
167,144.088,723.539,81.339,81.339
167,144.088,723.539,81.339,81.339
185,144.088,723.539,81.339,81.339
185,144.088,723.539,81.339,81.339
200,144.088,723.539,81.339,81.339
200,144.088,723.539,81.339,81.339
218,144.088,723.539,81.339,81.339
218,144.088,723.539,81.339,81.339
234,144.088,723.539,81.339,81.339
234,144.088,723.539,81.339,81.339
251,144.088,723.539,81.339,81.339
251,144.088,723.539,81.339,81.339
267,144.088,723.539,81.339,81.339
267,144.088,723.539,81.339,81.339
285,144.088,723.539,81.339,81.339
285,144.088,723.539,81.339,81.339
300,144.088,723.540,81.339,81.339
300,144.088,723.540,81.339,81.339
319,144.088,723.540,81.339,81.339
319,144.088,723.540,81.339,81.339
335,144.088,723.540,81.339,81.339
335,144.088,723.540,81.339,81.339
352,144.088,723.540,81.339,81.339
353,144.088,723.540,81.339,81.339
367,144.088,723.540,81.339,81.339
367,144.088,723.540,81.339,81.339
385,144.088,723.540,81.339,81.339
385,144.088,723.540,81.339,81.339
400,144.088,723.540,81.339,81.339
400,144.088,723.540,81.339,81.339
418,144.088,723.540,81.339,81.339
418,144.088,723.540,81.339,81.339
434,144.088,723.540,81.339,81.339
434,144.088,723.540,81.339,81.339
451,144.088,723.540,81.339,81.339
452,144.088,723.540,81.339,81.339
467,144.088,723.540,81.339,81.339
467,144.088,723.540,81.339,81.339
485,144.088,723.540,81.339,81.339
485,144.088,723.540,81.339,81.339
501,144.088,723.540,81.339,81.339
501,144.088,723.540,81.339,81.339
517,144.088,723.540,81.339,81.339
517,144.088,723.540,81.339,81.339
534,144.088,723.540,81.339,81.339
534,144.088,723.540,81.339,81.339
551,144.088,723.540,81.339,81.339
551,144.088,723.540,81.339,81.339
567,144.088,723.540,81.339,81.339
567,144.088,723.540,81.339,81.339
585,144.088,723.540,81.339,81.339
585,144.088,723.540,81.339,81.339
601,144.088,723.540,81.339,81.339
601,144.088,723.540,81.339,81.339
619,144.088,723.540,81.339,81.339
619,144.088,723.540,81.339,81.339
634,144.088,723.540,81.339,81.339
634,144.088,723.540,81.339,81.339
651,144.088,723.540,81.339,81.339
651,144.088,723.540,81.339,81.339
667,144.088,723.540,81.339,81.339
667,144.088,723.540,81.339,81.339
684,144.088,723.540,81.339,81.339
684,144.088,723.540,81.339,81.339
700,144.088,723.540,81.339,81.339
700,144.088,723.540,81.339,81.339
718,144.088,723.540,81.339,81.339
718,144.088,723.540,81.339,81.339
734,144.088,723.540,81.339,81.339
734,144.088,723.540,81.339,81.339
752,144.088,723.540,81.339,81.339
753,144.088,723.540,81.339,81.339
767,144.088,723.540,81.339,81.339
767,144.088,723.540,81.339,81.339
784,144.088,723.540,81.339,81.339
784,144.088,723.540,81.339,81.339
801,144.088,723.540,81.339,81.339
801,144.088,723.540,81.339,81.339
819,144.088,723.540,81.339,81.339
819,144.088,723.540,81.339,81.339
834,144.088,723.540,81.339,81.339
834,144.088,723.540,81.339,81.339
852,144.088,723.540,81.339,81.339
852,144.088,723.540,81.339,81.339
867,144.088,723.540,81.339,81.339
867,144.088,723.540,81.339,81.339
885,144.088,723.540,81.339,81.339
885,144.088,723.540,81.339,81.339
900,144.088,723.540,81.339,81.339
900,144.088,723.540,81.339,81.339
918,144.088,723.540,81.339,81.339
918,144.088,723.540,81.339,81.339
933,144.088,723.540,81.339,81.339
933,144.088,723.540,81.339,81.339
951,144.088,723.540,81.339,81.339
951,144.088,723.540,81.339,81.339
967,144.088,723.540,81.339,81.339
967,144.088,723.540,81.339,81.339
984,144.088,723.540,81.339,81.339
984,144.088,723.540,81.339,81.339
1000,144.088,723.540,81.339,81.339
1000,144.088,723.540,81.339,81.339
1018,144.088,723.540,81.339,81.339
1018,144.088,723.540,81.339,81.339
1034,144.088,723.540,81.339,81.339
1034,144.088,723.540,81.339,81.339
1051,144.088,723.540,81.339,81.339
1051,144.088,723.540,81.339,81.339
1067,144.088,723.540,81.339,81.339
1067,144.088,723.540,81.339,81.339
1085,144.088,723.540,81.339,81.339
1085,144.088,723.540,81.339,81.339
1100,144.088,723.540,81.339,81.339
1100,144.088,723.540,81.339,81.339
1118,144.088,723.540,81.339,81.339
1118,144.088,723.540,81.339,81.339
1134,144.088,723.540,81.339,81.339
1134,144.088,723.540,81.339,81.339
1151,144.088,723.540,81.339,81.339
1151,144.088,723.540,81.339,81.339
1167,144.088,723.540,81.339,81.339
1167,144.088,723.540,81.339,81.339
1184,144.088,723.540,81.339,81.339
1184,144.088,723.540,81.339,81.339
1200,144.088,723.540,81.339,81.339
1200,144.088,723.540,81.339,81.339
1218,144.088,723.540,81.339,81.339
1218,144.088,723.540,81.339,81.339
1233,144.088,723.540,81.339,81.339
1233,144.088,723.540,81.339,81.339
1251,144.088,723.540,81.339,81.339
1251,144.088,723.540,81.339,81.339
1267,144.088,723.540,81.339,81.339
1267,144.088,723.540,81.339,81.339
1296,144.088,723.540,81.339,81.339
1296,144.088,723.540,81.339,81.339
1302,144.088,723.540,81.339,81.339
1302,144.088,723.540,81.339,81.339
1320,144.088,723.540,81.339,81.339
1320,144.088,723.540,81.339,81.339
1336,144.088,723.540,81.339,81.339
1336,144.088,723.540,81.339,81.339
1353,144.088,723.540,81.339,81.339
1353,144.088,723.540,81.339,81.339
1369,144.088,723.540,81.339,81.339
1369,144.088,723.540,81.339,81.339
1386,144.088,723.540,81.339,81.339
1386,144.088,723.540,81.339,81.339
1402,144.088,723.540,81.339,81.339
1402,144.088,723.540,81.339,81.339
1420,144.088,723.540,81.339,81.339
1420,144.088,723.540,81.339,81.339
1436,144.088,723.540,81.339,81.339
1436,144.088,723.540,81.339,81.339
1453,144.088,723.540,81.339,81.339
1453,144.088,723.540,81.339,81.339
1469,144.088,723.540,81.339,81.339
1469,144.088,723.540,81.339,81.339
1486,144.088,723.540,81.339,81.339
1486,144.088,723.540,81.339,81.339
1502,144.088,723.540,81.339,81.339
1502,144.088,723.540,81.339,81.339
1519,144.088,723.540,81.339,81.339
1519,144.088,723.540,81.339,81.339
1535,144.088,723.540,81.339,81.339
1535,144.088,723.540,81.339,81.339
1553,144.088,723.540,81.339,81.339
1553,144.088,723.540,81.339,81.339
1569,144.088,723.540,81.339,81.339
1569,144.088,723.540,81.339,81.339
1586,144.088,723.540,81.339,81.339
1586,144.088,723.540,81.339,81.339
1617,144.088,723.540,81.339,81.339
1617,144.088,723.540,81.339,81.339
1633,144.088,723.540,81.339,81.339
1633,144.088,723.540,81.339,81.339
1651,144.088,723.540,81.339,81.339
1651,144.088,723.540,81.339,81.339
1666,144.088,723.540,81.339,81.339
1666,144.088,723.540,81.339,81.339
1684,144.088,723.540,81.339,81.339
1684,144.088,723.540,81.339,81.339
1700,144.088,723.540,81.339,81.339
1700,144.088,723.540,81.339,81.339
1717,144.088,723.540,81.339,81.339
1717,144.088,723.540,81.339,81.339
1733,144.088,723.540,81.339,81.339
1733,144.088,723.540,81.339,81.339
1750,144.088,723.540,81.339,81.339
1750,144.088,723.540,81.339,81.339
1766,144.088,723.540,81.339,81.339
1766,144.088,723.540,81.339,81.339
1784,144.088,723.540,81.339,81.339
1784,144.088,723.540,81.339,81.339
1801,144.088,723.540,81.339,81.339
1801,144.088,723.540,81.339,81.339
1819,144.088,723.540,81.339,81.339
1819,144.088,723.540,81.339,81.339
1833,144.088,723.540,81.339,81.339
1833,144.088,723.540,81.339,81.339
1851,144.088,723.540,81.339,81.339
1851,144.088,723.540,81.339,81.339
1867,144.088,723.540,81.339,81.339
1867,144.088,723.540,81.339,81.339
1884,144.088,723.540,81.339,81.339
1884,144.088,723.540,81.339,81.339
1900,144.088,723.540,81.339,81.339
1900,144.088,723.540,81.339,81.339
1917,144.088,723.540,81.339,81.339
1917,144.088,723.540,81.339,81.339
1933,144.088,723.540,81.339,81.339
