Time_ms,X_px,Y_px,BallWidth_px,BallHeight_px
0,1033.394,739.037,48.803,48.803
0,1033.394,739.037,48.803,48.803
15,1033.394,739.037,48.803,48.803
15,1033.394,739.037,48.803,48.803
32,1033.394,739.037,48.803,48.803
32,1033.394,739.037,48.803,48.803
48,1033.394,739.037,48.803,48.803
48,1033.394,739.037,48.803,48.803
66,1033.394,739.037,48.803,48.803
66,1033.394,739.037,48.803,48.803
82,1033.394,739.037,48.803,48.803
82,1033.394,739.037,48.803,48.803
99,1033.394,739.037,48.803,48.803
99,1033.394,739.037,48.803,48.803
115,1033.394,739.037,48.803,48.803
115,1033.394,739.037,48.803,48.803
133,1033.394,739.037,48.803,48.803
133,1033.394,739.037,48.803,48.803
149,1033.394,739.037,48.803,48.803
149,1033.394,739.037,48.803,48.803
167,1033.394,739.037,48.803,48.803
167,1033.394,739.037,48.803,48.803
182,1033.394,739.037,48.803,48.803
182,1033.394,739.037,48.803,48.803
199,1033.394,739.037,48.803,48.803
199,1033.394,739.037,48.803,48.803
215,1033.394,739.037,48.803,48.803
215,1033.394,739.037,48.803,48.803
232,1033.394,739.037,48.803,48.803
232,1033.394,739.037,48.803,48.803
248,1033.394,739.037,48.803,48.803
248,1033.394,739.037,48.803,48.803
266,1033.394,739.037,48.803,48.803
266,1033.394,739.037,48.803,48.803
282,1033.394,739.037,48.803,48.803
282,1033.394,739.037,48.803,48.803
299,1033.394,739.037,48.803,48.803
299,1033.394,739.037,48.803,48.803
315,1033.394,739.037,48.803,48.803
315,1033.394,739.037,48.803,48.803
332,1033.394,739.037,48.803,48.803
332,1033.394,739.037,48.803,48.803
349,1033.394,739.037,48.803,48.803
349,1033.394,739.037,48.803,48.803
367,1033.394,739.037,48.803,48.803
367,1033.394,739.037,48.803,48.803
383,1033.394,739.037,48.803,48.803
383,1033.394,739.037,48.803,48.803
402,1033.394,739.037,48.803,48.803
402,1033.394,739.037,48.803,48.803
417,1033.394,739.037,48.803,48.803
417,1033.394,739.037,48.803,48.803
433,1033.394,739.037,48.803,48.803
433,1033.394,739.037,48.803,48.803
449,1033.394,739.037,48.803,48.803
449,1033.394,739.037,48.803,48.803
466,1033.394,739.037,48.803,48.803
466,1033.394,739.037,48.803,48.803
482,1033.394,739.037,48.803,48.803
482,1033.394,739.037,48.803,48.803
501,1033.394,739.037,48.803,48.803
501,1033.394,739.037,48.803,48.803
515,1033.394,739.037,48.803,48.803
515,1033.394,739.037,48.803,48.803
532,1033.394,739.037,48.803,48.803
532,1033.394,739.037,48.803,48.803
548,1033.394,739.037,48.803,48.803
548,1033.394,739.037,48.803,48.803
565,1033.394,739.037,48.803,48.803
565,1033.394,739.037,48.803,48.803
581,1033.394,739.037,48.803,48.803
581,1033.394,739.037,48.803,48.803
599,1033.394,739.037,48.803,48.803
599,1033.394,739.037,48.803,48.803
615,1033.394,739.037,48.803,48.803
615,1033.394,739.037,48.803,48.803
632,1033.394,739.037,48.803,48.803
632,1033.394,739.037,48.803,48.803
648,1033.394,739.037,48.803,48.803
648,1033.394,739.037,48.803,48.803
665,1033.394,739.037,48.803,48.803
665,1033.394,739.037,48.803,48.803
683,1033.394,739.037,48.803,48.803
683,1033.394,739.037,48.803,48.803
699,1033.394,739.037,48.803,48.803
699,1033.394,739.037,48.803,48.803
716,1033.394,739.037,48.803,48.803
716,1033.394,739.037,48.803,48.803
734,1033.394,739.037,48.803,48.803
734,1033.394,739.037,48.803,48.803
749,1033.394,739.037,48.803,48.803
749,1033.394,739.037,48.803,48.803
765,1033.394,739.037,48.803,48.803
765,1033.394,739.037,48.803,48.803
781,1033.394,739.037,48.803,48.803
781,1033.394,739.037,48.803,48.803
799,1033.394,739.037,48.803,48.803
799,1033.394,739.037,48.803,48.803
815,1033.394,739.037,48.803,48.803
815,1033.394,739.037,48.803,48.803
832,1033.394,739.037,48.803,48.803
832,1033.394,739.037,48.803,48.803
849,1033.394,739.037,48.803,48.803
849,1033.394,739.037,48.803,48.803
