Time_ms,X_px,Y_px,BallWidth_px,BallHeight_px
0,128.593,739.039,48.803,48.803
0,128.593,739.039,48.803,48.803
16,128.593,739.039,48.803,48.803
16,128.593,739.039,48.803,48.803
33,128.593,739.039,48.803,48.803
33,128.593,739.039,48.803,48.803
49,128.593,739.039,48.803,48.803
49,128.593,739.039,48.803,48.803
66,128.593,739.039,48.803,48.803
66,128.593,739.039,48.803,48.803
82,128.593,739.039,48.803,48.803
82,128.593,739.039,48.803,48.803
100,128.593,739.039,48.803,48.803
100,128.593,739.039,48.803,48.803
115,128.593,739.039,48.803,48.803
115,128.593,739.039,48.803,48.803
133,128.593,739.039,48.803,48.803
133,128.593,739.039,48.803,48.803
149,128.593,739.039,48.803,48.803
149,128.593,739.039,48.803,48.803
167,128.593,739.039,48.803,48.803
167,128.593,739.039,48.803,48.803
182,128.593,739.039,48.803,48.803
182,128.593,739.039,48.803,48.803
200,128.593,739.039,48.803,48.803
200,128.593,739.039,48.803,48.803
215,128.593,739.039,48.803,48.803
215,128.593,739.039,48.803,48.803
233,128.593,739.039,48.803,48.803
233,128.593,739.039,48.803,48.803
249,128.593,739.039,48.803,48.803
249,128.593,739.039,48.803,48.803
266,128.593,739.039,48.803,48.803
266,128.593,739.039,48.803,48.803
282,128.593,739.039,48.803,48.803
282,128.593,739.039,48.803,48.803
299,128.593,739.039,48.803,48.803
299,128.593,739.039,48.803,48.803
315,128.593,739.039,48.803,48.803
315,128.593,739.039,48.803,48.803
332,128.593,739.039,48.803,48.803
332,128.593,739.039,48.803,48.803
349,128.593,739.039,48.803,48.803
349,128.593,739.039,48.803,48.803
365,128.593,739.039,48.803,48.803
365,128.593,739.039,48.803,48.803
382,128.593,739.039,48.803,48.803
382,128.593,739.039,48.803,48.803
399,128.593,739.039,48.803,48.803
399,128.593,739.039,48.803,48.803
415,128.593,739.039,48.803,48.803
416,128.593,739.039,48.803,48.803
433,128.593,739.039,48.803,48.803
433,128.593,739.039,48.803,48.803
448,128.593,739.039,48.803,48.803
448,128.593,739.039,48.803,48.803
466,128.593,739.039,48.803,48.803
466,128.593,739.039,48.803,48.803
482,128.593,739.039,48.803,48.803
482,128.593,739.039,48.803,48.803
499,128.593,739.039,48.803,48.803
